"film","directors","writers","countries"
"Aar-Paar","Vasanth Kumar Shivashankar Padukone","Abrar Alvi; Majrooh Sultanpuri; Nabendu Ghosh; अबरार अलवी","Bhārat Gaṇarājya; India"
"Deedar","Pramod Chakravorty","Sachin Bhaumick; Sachin Bhowmick; শচীন ভৌমিক","Bhārat Gaṇarājya; India"
"Kalai Kovil","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"The Skydivers","Coleman C. Francis","Coleman Francis","the United States"
"Banphool","Vrajlal Jagneshwar Bhatt","Anand Bakshi","Bhārat Gaṇarājya; India"
"CIA II: Target Alexa","Lorenzo Fernando Lamas","Kathleen Kinmont","the United States"
"Adaminte Makan Abu","P. P. Salim Ahamed","Salim Ahamed","Bhārat Gaṇarājya; India"
"Drums of Tahiti","William Schloss, Jr.","Douglas Heyes; Robert E. Kent","the United States"
"The Cops Don't Know","Sam Chegini","Sam Chegini","Iran"
"ABCD: Anybody Can Dance 3D","Ramesh Gopi","Mayur Puri; Tushar Hiranandani","Bhārat Gaṇarājya; India"
"Jibon Theke Neya","Mohammad Zahirullah","Zahir Raihan","East Pakistan"
"Serious Moonlight","Cheryl Ruth Hines","Adrienne Shelly","the United States"
"Tiger Salim","Joshi","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Karbid und Sauerampfer","Frank Paul Beyer","Frank Beyer","''; East Germany; German Democratic Republic"
"Anantaram","Moutathu Gopalakrishnan Unnithan","Adoor Gopalakrishnan","Bhārat Gaṇarājya; India"
"Satanas","Andrés Baiz Ochoa","Andrés Baiz","Colombia"
"City of Lost Souls","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","''; Federal Republic of Germany; West Germany"
"W.W. and the Dixie Dancekings","John Guilbert Avildsen","Thomas Rickman","the United States"
"The President Is Coming","Kunaal Roy Kapur","Anuvab Pal","Bhārat Gaṇarājya; India"
"Bortreist på ubestemt tid","Pål Bang-Hansen","Pål Bang-Hansen; Sigrun Krokvik","Norway"
"Zangezur","Ambartsum Beknazaryan","Axel Bakunts; Hamo Beknazarian","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Elippathayam","Moutathu Gopalakrishnan Unnithan","Adoor Gopalakrishnan","Bhārat Gaṇarājya; India"
"Red Dust","Thomas George Hooper","Troy Kennedy Martin","South Africa"
"Unbelievable Adventures of Italians in Russia","Eldar Alexandrovich Ryazanov; Francesco Prosperi","Eldar Ryazanov; Emil Braginsky; Franco Castellano; Giuseppe Moccia","Italy"
"Tatlong Taong Walang Diyos","Mario Herrero O'Hara","Mario O'Hara","Republika ng Pilipinas; the Philippines"
"Dylan Dog: Dead of Night","Kevin Andrew Munroe","Joshua Oppenheimer","the United States"
"976-EVIL","Robert Barton Englund","Brian Helgeland","the United States"
"The School Teacher","Fernando Cicero","Nando Cicero","Italy"
"Captain Applejack","Hess Henle","Maude Fulton","the United States"
"The Burnt Theatre","Panh Rithy","Rithy Panh","Cambodia; Preăh Réachéanachâk Kâmpŭchéa"
"Madrasta","Olivia M. Lamasan","Olivia Lamasan","Republika ng Pilipinas; the Philippines"
"Map of the Sounds of Tokyo","Isabel Coixet Castillo","Isabel Coixet","Spain"
"Othello","George Orson Welles","Orson Welles","Morocco"
"Walking Tall","Philip N. Karlstein","John Michael Hayes; Stephen Downing","the United States"
"Grand Hotel Excelsior","Franco Castellano; Giuseppe Moccia","Castellano & Pipolo; Castellano and Pipolo","Italy"
"Train to Pakistan","Pamela Juneja","Pamela Rooks","Bhārat Gaṇarājya; India"
"Pierino colpisce ancora","Marino Girolami","Gianfranco Clerici","Italy"
"The Tango on Broadway","Louis Joseph Gasnier","Alfredo Le Pera","the United States"
"Bhalobasa Bhalobasa","Tarun Majumdar","Tarun Majumdar","Bhārat Gaṇarājya; India"
"The Private Lives of Pippa Lee","Rebecca Augusta Miller","Rebecca Miller","the United States"
"Light Drops","Fernando Vendrell","Fernando Vendrell","Mozambique; font-size:88%;"
"Camp Cuddly Pines Powertool Massacre","Scott Gallegos","Jonathan Morgan; Stormy Daniels","the United States"
"La Muchacha de Las Bragas de Oro","Vicente Aranda Ezquerra","Vicente Aranda","Spain; Venezuela; font-size:88%;"
"Two Arabian Knights","Leib Milstein","Cyril Gardner; George Marion Jr.; George Marion, Jr.","the United States"
"An Angel Has Arrived","Luis Lucia Mingarro","Alfonso Paso","Spain"
"Kumbakonam Gopalu","Kothanda Ramaiah aka K R","Keyaar; Kothanda Ramaiah","Bhārat Gaṇarājya; India"
"Jaggubhai","K. S. Ravikumar","K. S. Ravikumar","Bhārat Gaṇarājya; India"
"Schlock","John David Landis","John Landis","the United States"
"(La Section Anderson)","Pierre Schœndœrffer","Pierre Schoendoerffer","France"
"Vedikkai En Vadikkai","M R Viswanthan","Visu","Bhārat Gaṇarājya; India"
"Youth of Chopin","Mosze Lifszyc","Aleksander Ford","Poland"
"Karthavyam","Joshi","Kaloor Dennis","Bhārat Gaṇarājya; India"
"Space Invasion of Lapland","Virgil William Vogel","Arthur C. Pierce; Robert M. Fresco","Konungariket Sverige; Sweden"
"The Chimp","Aktan Abdykalykov","Aktan Abdykalykov; Tonino Guerra","Kyrgyzstan"
"Time Regained","Raúl Ernesto Ruiz Pino","Raúl Ruiz","France"
"Submarine Patrol","John Martin Feeney","Jack Yellen; William Faulkner","the United States"
"Enthiran","Shankar Shanmugam","Madhan Karky; Shankar; Sujatha Rangarajan; Sujatha.","Bhārat Gaṇarājya; India"
"Non ci resta che piangere","Roberto Remigio Benigni","Giuseppe Bertolucci; Massimo Troisi; Roberto Benigni","Italy"
"The Fall","Tarsem Singh Dhandwar","Dan Gilroy; Tarsem Singh","Bhārat Gaṇarājya; India"
"Die Mutter","Eugen Berthold Friedrich Brecht","Maxim Gorky","''; East Germany; German Democratic Republic"
"Moorkhan (1980)","Joshi","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"The Legend of Bhagat singh","Rajkumar Santoshi","Anjum Rajabali; Piyush Mishra","Bhārat Gaṇarājya; India"
"Simla Special","Venkatachary Srinivasan","Visu","Bhārat Gaṇarājya; India"
"The Secret of Kells","Thomas Moore","Fabrice Ziolkowski","Belgium; France; Ireland"
"Luksang Tagumpay","Dr. Gregorio Montemayor-Fernández","Bro. Mariano ""Mike"" Zuniega Velarde; Mike Velarde","Republika ng Pilipinas; the Philippines"
"Calendar","Atom Yeghoyan","Atom Egoyan","Armenia"
"Tribute to a Bad Man","Robert Earl Wise","Jack Schaefer; Michael Blankfort","the United States"
"Emak-Bakia (Leave Me Alone)","Emmanuel Radnitzky","Man Ray","France"
"Le Cercle Rouge","Jean-Pierre Grumbach","Jean-Pierre Melville","France"
"Leif","Claes Ingvar Eriksson","Claes Eriksson","Konungariket Sverige; Sweden"
"Sowbhagya Lakshmi","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava; M. Prabhakar Reddy; Prabhakar Reddy","Bhārat Gaṇarājya; India"
"Iniyum Kurukshetrum","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Mupperum Deviyar","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"Thaayin Manikodi","Srinivasa Sarja","Arjun Sarja","Bhārat Gaṇarājya; India"
"Monsieur Batignole","Gérard Jean Jugnot","Gérard Jugnot","France"
"Phantom","Kabir Khan","Kabir Khan; Kausar Munir","Bhārat Gaṇarājya; India"
"Your Name Here","Benjamin Patrick Paquette","B. P. Paquette","Canada"
"Assault on Precinct 13","John Howard Carpenter","John Carpenter","the United States"
"Young Cassidy","John Martin Feeney","John Whiting","United Kingdom"
"Preethisi Nodu","Lakshman Rao Mohite","Geethapriya","Bhārat Gaṇarājya; India"
"The Sorcerer's Apprentice","Michael Latham Powell","Dennis Arundell; Johann Wolfgang (von) Goethe; Johann Wolfgang von Goethe","''; Federal Republic of Germany; West Germany"
"Athirathan","Pradeep Kumar","Pradeep Kumar","Bhārat Gaṇarājya; India"
"The Last Moment","Pál Fejős","Paul Fejos","the United States"
"Thuruppugulan","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"The White Cliffs of Dover","Clarence Leon Brown","Claudine West; George Froeschel; Robert Nathan","the United States"
"Male Companion","Philippe Claude Alex de Broca de Ferrussac","André Couteaux; Philippe de Broca","France"
"Un crisantemo estalla en cinco esquinas","Daniel Burman","Daniel Burman","Argentina; Brazil; France; Spain"
"Secret in Their Eyes","William Ray","Billy Ray","the United States"
"Saraband for Dead Lovers","Basil Clive Dear","Alexander Mackendrick; John Dighton","United Kingdom"
"Ninakku Njaanum Enikku Neeyum","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Portrait Werner Herzog","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"Nandanam","Ranjith Balakrishnan Nair","Ranjith","Bhārat Gaṇarājya; India"
"Karuppu Vellai","Manobala","Manobala","Bhārat Gaṇarājya; India"
"Les Patterson Saves the World","George Trumbull Miller","Barry Humphries","Australia"
"Colossus: The Forbin Project","Giuseppe Danielle Sorgente","James Bridges","the United States"
"Piriyilla Naam","Joshi","A. Sheriff; Cochin Haneefa","Bhārat Gaṇarājya; India"
"Fanny Pelopaja","Vicente Aranda Ezquerra","Vicente Aranda","France"
"The Prince of Peace","William Washington Beaudine","Mildred Horn","the United States"
"The Return of Josey Wales","Harry Samuel Parks","Asa Earl Carter","the United States"
"Sindhu","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Taxandria","Raoul Servais","Alain Robbe-Grillet; Raoul Servais","Belgium"
"Vannu Kandu Keezhadakki","Joshi","Kaloor Dennis","Bhārat Gaṇarājya; India"
"Duvidha","Rabindranath Kaul","Mani Kaul","Bhārat Gaṇarājya; India"
"La Rose de Fer","Jean Michel Rollin Roth Le Gentil","Jean Rollin","France"
"Thacholi Thankappan","Pattathil Venugopalan Menon","P. Venu; Vijayan","Bhārat Gaṇarājya; India"
"Ali Baba Bujang Lapok","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Malaysia; Singapore"
"Alexander Nevsky","Sergei Mikhailovich Eizenshtein","Pyotr Pavlenko; Sergei Eisenstein","Soviet Union (USSR); Union of Soviet Socialist Republics"
"La tigre e la neve","Roberto Remigio Benigni","Roberto Benigni; Vincenzo Cerami","Italy"
"A Good Woman","Mike Barker","Oscar Wilde","Italy; Spain; United Kingdom; the United States"
"Pumzi","Wanuri Kahiu","Wanuri Kahiu","Jamhuri ya Kenya; Kenya"
"The Bohemian Girl","Jonas Sternberg","Harley Knoles","United Kingdom"
"Sayam Sandhya","Joshi","Dennis Joseph","Bhārat Gaṇarājya; India"
"Gunslinger","Roger William Corman","Charles B. Griffith; Mark Hanna","the United States"
"House of Usher","Roger William Corman","Richard Matheson","the United States"
"Crimes of Passion","Henry Kenneth Alfred Russell","Barry Sandler","the United States"
"Suvarna Sethuve","Lakshman Rao Mohite","Geethapriya","Bhārat Gaṇarājya; India"
"The Cannonball Run","Hal Brett Needham","Brock Yates","Hong Kong"
"Condottieri","Alois Franz Trenker","Kurt Heuser; Luis Trenker","Italy"
"Pardesi","Khwaja Ahmad Abbas","Khwaja Ahmad Abbas; Khwaja Ahmad Abbas / K. A. Abbas","Bhārat Gaṇarājya; India"
"Pillaikkaga","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"Aku Ingin Menciummu Sekali Saja","Garin Nugroho Riyanto","Garin Nugroho","Indonesia; Republik Indonesia"
"This Is My Country","Catalino Ortiz Brocka","Jose F. Lacaba","Republika ng Pilipinas; the Philippines"
"Lost Embrace","Daniel Burman","Daniel Burman; Marcelo Birmajer","Argentina"
"Ivanhoe, the Norman Swordsman","Giuseppe Tagliavia","Piero Regnoli","Italy"
"Aasha","Appadanda T. Raghu","A. T. Raghu; A.T.Raghu","Bhārat Gaṇarājya; India"
"Goodnight, Ladies and Gentlemen","Giovanni Loi; Ugo Mattone","Agenore Incrocci; Ettore Scola; Furio Scarpelli; Leonardo Benvenuti; Luigi Comencini; Luigi Magni; Mario Monicelli; Nanni Loy; Piero De Bernardi; Ruggero Maccari; Ugo Pirro","Italy"
"Koottukar","Nambiathusseril Varkey John","J. Sasikumar; P. J. Antony; പി.ജെ. ആന്റണി","Bhārat Gaṇarājya; India"
"Taking Off","Jan Tomáš Forman","Jean-Claude Carrière; John Guare; Miloš Forman","the United States"
"Mela","Dharmesh Darshan","Dharmesh Darshan; Neeraj Vora; Robin Bhatt","Bhārat Gaṇarājya; India"
"Rivalen der Luft - Ein Segelfliegerfilm","Franz Wysbar","Walter Forster","Deutsches Reich (1933–43); German Reich; Germany; Großdeutsches Reich (1943–45)"
"Chelsea Girls","Andrew Warhola","Andy Warhol; Ronald Tavel","the United States"
"Cheer Boys Cheer","Thomas Seymour Woolford","Allan MacKinnon; Roger MacDougall","United Kingdom"
"Black Peter (Original title: ""Černý Petr"")","Jan Tomáš Forman","Miloš Forman","Czechoslovakia; Československo; Česko‑Slovensko"
"Around the Pink House","Joana Hadjithomas","Joana Hadjitho; Joana Hadjithomas; Khalil Joreige","Canada; France; Lebanon"
"Lula, Son of Brazil","Fábio Villela Barreto Borges","Fábio Barreto","Brazil"
"Endgame","Aristide Massaccesi","Joe D'Amato","Italy"
"Simha Gharjane","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Pushpanjali","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Watan","Mehboob Khan Ramzan Khan","Mehboob Khan; Wajahat Mirza; Wajahat Mirza Changezi","Bhārat Gaṇarājya; India"
"Muddu Bidda","Korlipara Balagangadhara Tilak","Tapi Dharma Rao; Thapi Dharma Rao","Bhārat Gaṇarājya; India"
"Vexille","Fumihiko Sori","Fumihiko Sori","Japan"
"Nambinar Keduvathillai","Kunnesscri Shankar","""Vietnam Veedu"" Sundaram; K. Shankar; Vietnam Veedu Sundaram","Bhārat Gaṇarājya; India"
"The Hundred Year-Old Man Who Climbed Out of the Window and Disappeared","Felix Tobias Herngren","Felix Herngren; Jonas Jonasson","Konungariket Sverige; Sweden"
"Yuva","Gopala Ratnam Subramaniam","Mani Ratnam","Bhārat Gaṇarājya; India"
"The Policeman","Ferenc Hoffmann","Ephraim Kishon","Israel"
"Amma Nanna O Tamila Ammayi","Puri Jagannadh","Kona Venkat; కోన వెంకట్","Bhārat Gaṇarājya; India"
"Border","Jyoti Prakash Dutta","J. P. Dutta","Bhārat Gaṇarājya; India"
"Häpy Endkö? Eli kuinka Uuno Turhapuro sai niin kauniin ja rikkaan vaimon","Erkki Olavi Kokkonen","Spede Pasanen","Finland; font-size:88%;"
"ABBA: The Movie","Lars Sven Hallström","Lasse Hallström; Robert Caswell","Australia"
"Odukkam Thudakkam","K. V. Ramakrishna Iyer","Malayattoor Ramakrishnan","Bhārat Gaṇarājya; India"
"Maria's Lovers","Andron Sergeyevich Mikhalkov","Andrei Konchalovsky","the United States"
"Prem Rog","Ranbir Raj Kapoor","Jainendra Jain; Jainendra K. Jain; Kamna Chandra","Bhārat Gaṇarājya; India"
"Oru Madapravinte Katha","Ashraf","Alleppey Ashraf","Bhārat Gaṇarājya; India"
"Kaamannana Makkalu","Guru Dutt","Benny P. Nayarambalam","Bhārat Gaṇarājya; India"
"Sweet Dreams","Giovanni Moretti","Nanni Moretti","Italy"
"Kill Them All and Come Back Alone","Enzo Girolami Castellari","Enzo G. Castellari","Italy; Spain"
"The Swiss Conspiracy","Jack Arnold Waks","Philip Saltzman","Germany; the United States"
"Ee Nadu","Irruppam Veedu Sasidaran","T. Damodaran; ടി. ദാമോദരൻ","Bhārat Gaṇarājya; India"
"The Cool Ones","Leander Eugene Berg","Robert Kaufman","the United States"
"The Business of Fancydancing","Sherman Joseph Alexie, Jr.","Sherman Alexie","the United States"
"The Honky Problem","Michael Craig Judge","Mike Judge","the United States"
"Bangaram","V.C. Ramani","Dharani Director","Bhārat Gaṇarājya; India"
"Repmånad","Lars Gunnar Åberg","Lars Molin; Lasse Åberg","Konungariket Sverige; Sweden"
"Abobaku","Akanni Adeniji","Femi Odugbemi; Niji Akanni","Nigeria; font-size:78%;"
"Gaadha","Shaji Neelakantan Karunakaran","Anjum Rajabali","Bhārat Gaṇarājya; India"
"Robots","John Christian Wedge","Babaloo Mandel; David Lindsay-Abaire; Lowell Ganz","the United States"
"Thou Shalt Not Kill... Except","Joshua Matthew Becker","Josh Becker; Scott Spiegel","the United States"
"Redes","Alfred Zinnemann","Emilio Gómez Muriel; Fred Zinnemann; Paul Strand","Mexico"
"Shabhash Kundu (Hindi)","Parthasarathy","Kamal Haasan; Saurabh Shukla","Bhārat Gaṇarājya; India"
"Mamma Mia!","Phyllida Lloyd","Catherine Johnson","Konungariket Sverige; Sweden; United Kingdom"
"secretprojectrevolution","Madonna Louise Ciccone","Madonna","the United States"
"Shopping for Fangs","李孟熙","Justin Lin; Lín Yìbīn; Quentin Lee","Canada"
"Kings of the Road","Ernst Wilhelm Wenders","Wim Wenders","''; Federal Republic of Germany; West Germany"
"KL Gangster 2","Mohd Syamsul Bin Mohd Yusof","Syamsul Yusof","Malaysia"
"Akira","Arunachalam Murugadoss","A. R. Murugadoss; AR Murugadoss","Bhārat Gaṇarājya; India"
"The World's Greatest Sinner","Timothy Agoglia Carey","Timothy Carey","the United States"
"Gang of ghosts","Satish Chandra Kaushik","Satish Kaushik","Bhārat Gaṇarājya; India"
"Porkkaalam","Cheran","Cheran","Bhārat Gaṇarājya; India"
"Maalik","Ashir Azeem","Ashir Azeem","Pakistan"
"Bryllupsfotografen","Lars Johan Rudman Bergenstråhle","Dag Solstad; Johan Bergenstråhle","Norway"
"Achaaram Ammini Osharam Omana","K. Bhaskaran Nair","P. K. Sarangapani","Bhārat Gaṇarājya; India"
"Roti","Mehboob Khan Ramzan Khan","Wajahat Mirza; Wajahat Mirza Changezi","Bhārat Gaṇarājya; India"
"The Unprecedented Defence of the Fortress Deutschkreutz","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"The Red Tent","Mikheil Konstantinovich Kalatozishvili","Robert Bolt; Yuri Nagibin","Italy"
"Aayiram Kannudayaal","Kunnesscri Shankar","""Vietnam Veedu"" Sundaram; K. Shankar; Vietnam Veedu Sundaram","Bhārat Gaṇarājya; India"
"Chal Mere Bhai","Rajinder Dhawan","Ikram Akhtar","Bhārat Gaṇarājya; India"
"Jeewan Hathi","Meenu Gaur","Fasi Bari Khan","Bhārat Gaṇarājya; India; Pakistan"
"Lajja","Rajkumar Santoshi","Rajkumar Santoshi","Bhārat Gaṇarājya; India"
"The Acquittal","Clarence Leon Brown","Jules Furthman; Raymond L. Schrock","the United States"
"Pratighatana","Tottempudi Krishna","T. Krishna; Tottempudi Krishna","Bhārat Gaṇarājya; India"
"Lilla Märta kommer tillbaka","Hans Gösta Ekman","Hasse Ekman","Konungariket Sverige; Sweden"
"Ready When You Are, Mr McGill","Michael Cormac Newell","Jack Rosenthal","United Kingdom"
"The Road","William Laranas","Aloy Adlawan; Yam Laranas","Republika ng Pilipinas; the Philippines"
"Renaldo and Clara","Robert Allen Zimmerman","Bob Dylan; Sam Shepard","the United States"
"इन्साफ की देवी","S.A. Chandrasekar","Indeevar","Bhārat Gaṇarājya; India"
"The Illusionist","Neil Norman Burger","Neil Burger","the Czech Republic"
"Koi Tujh Sa Kahan","Reema Khan","Khalil-Ur-Rehman Qamar; Khalil-ur-Rehman Qamar","Pakistan"
"Amigo","John Thomas Sayles","John Sayles","Republika ng Pilipinas; the Philippines"
"The African Queen","John Marcellus Huston","James Agee; John Collier; John Huston; Peter Viertel","United Kingdom"
"Badri","Puri Jagannadh","Puri Jagannadh","Bhārat Gaṇarājya; India"
